"Zoom In","Zoom In"
"Slide Down","Slide Down"
Fade,Fade
"Search results for","Search results for"
Categories,Categories
"Nothing found","Nothing found"
"Cms pages","Cms pages"
Products,Products
Price,Price
SKU,SKU
Ajaxsearch,Ajaxsearch
Main,Main
Limit,Limit
Highlight,Highlight
"Minimal Query Length","Minimal Query Length"
"Folded Design","Folded Design"
"Use Folded Design","Use Folded Design"
Effect,Effect
"Product Suggestions","Product Suggestions"
Enable,Enable
"Category Suggestions","Category Suggestions"
"Page Suggestions","Page Suggestions"
"Autocomplete Suggestions","Autocomplete Suggestions"