"This product is no longer available.","This product is no longer available."
"The quote that you have loaded into this shopping cart has expired. Please be aware that pricing may have changed to reflect our current prices.","The quote that you have loaded into this shopping cart has expired. Please be aware that pricing may have changed to reflect our current prices."
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
Price,Price
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"More Information","More Information"
"Create Quote","Create Quote"
Next,Next
"Fill in your address to view available shipping methods","Fill in your address to view available shipping methods"
Continue,Continue
"Request a Quote", "Save Cart as Quote"